"uid","vin","ys_time_stamp","sourceSystem","validationFlag","latitude","longitude","angle","custom1","custom2","custom3","custom4","location1","location2","location3","location4","image"
"062283523_N6E27515","N6E27515","2022-06-23 15:20:00.000","Drone","1","18.718730452172718","73.80293799671077","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/884888af-256d-4792-bf3a-c5e3c5438bbf?auto=format,compress,enhance&w=400"
"062283523_N6F29888","N6F29888","2022-06-23 15:20:00.000","Drone","1","18.718681445828054","73.80292695690603","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/eda796e4-88de-4c29-8921-58d7264bcbee?auto=format,compress,enhance&w=400"
"062283523_N6E27476","N6E27476","2022-06-23 15:20:00.000","Drone","1","18.718681445828054","73.80292695690603","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/eda796e4-88de-4c29-8921-58d7264bcbee?auto=format,compress,enhance&w=400"
"062283523_N6E29588","N6E29588","2022-06-23 15:20:00.000","Drone","1","18.718631918050523","73.80291598468227","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/967c9fd8-f363-4aef-a3c3-a8d343925a35?auto=format,compress,enhance&w=400"
"062283523_N6F29946","N6F29946","2022-06-23 15:20:00.000","Drone","1","18.718631918050523","73.80291598468227","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/967c9fd8-f363-4aef-a3c3-a8d343925a35?auto=format,compress,enhance&w=400"
"062283523_N6E28300","N6E28300","2022-06-23 15:20:00.000","Drone","1","18.718623529163732","73.802856262462","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/05d08840-d26d-46c0-b567-e4f9cbeb549b?auto=format,compress,enhance&w=400"
"062283523_N6E29590","N6E29590","2022-06-23 15:20:00.000","Drone","1","18.718672362496836","73.80286648468577","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/c25c7f34-24c3-48ac-87ad-9525c7183aa7?auto=format,compress,enhance&w=400"
"062283523_N6D45954","N6D45954","2022-06-23 15:20:00.000","Drone","1","18.718769452174435","73.80288746893646","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/bb1f9541-2416-4bb5-b5dd-6c0f97b8d6c8?auto=format,compress,enhance&w=400"
"062283523_N6F30283","N6F30283","2022-06-23 15:20:00.000","Drone","1","18.718769452174435","73.80288746893646","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/bb1f9541-2416-4bb5-b5dd-6c0f97b8d6c8?auto=format,compress,enhance&w=400"
"062283523_N6E27482","N6E27482","2022-06-23 15:20:00.000","Drone","1","18.71881881328534","73.80289816338221","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/77a74672-a55b-4d9b-8e9d-aeafd1770033?auto=format,compress,enhance&w=400"
